alert_key,date,cust_id,risk_rank,occupation_code,total_asset,AGE,lupay,cycam,usgam,clamt,csamt,inamt,cucsm,cucah
352342,365,7629f010080267f680a4ca9c6cac71c4d4d86933dcc7ed2f3625fde2c161e9de,1.0,17.0,506366.0,3.0,3233.0,81648.0,4718.0,0.0,0.0,117.0,3286.0,0.0
352866,365,e50deb3f2f87bf45e04940303f80c96929c836b0b03f54f9681272186d9e466e,1.0,12.0,309830.0,4.0,0.0,50233.0,0.0,0.0,0.0,0.0,0.0,0.0
352696,365,c6def618ad861703c025be4f41bdf7569310228ae93aeffc73088c520c79558d,1.0,2.0,444392.0,3.0,4355.0,253818.0,5105.0,0.0,0.0,0.0,5094.0,0.0
352658,365,2cbae2a984f9c7a8749097027ac7a00052bfee7536a287071fb3ea50b351f323,3.0,19.0,344441.0,5.0,0.0,203714.0,0.0,0.0,0.0,0.0,0.0,0.0
352558,365,609ca842d3c873f3606404f8741eec8d7fbdfeef00e80bd64e92f85132352eef,3.0,19.0,1302688.0,6.0,1532.0,207208.0,1203.0,0.0,0.0,0.0,1203.0,0.0
352344,365,33ff49ea8a07c6d1b7cc203dcc3638ebde62dfb960a1697c8e5a55dffefc1cb6,1.0,9.0,367478.0,3.0,0.0,206759.0,0.0,0.0,0.0,0.0,0.0,0.0
352693,365,6b5ae2c6990dfa9281ea5b8f437ed6bc868cc5cac182fb33c467e615dffe6926,1.0,12.0,1705196.0,3.0,1203174.0,410738.0,184172.0,0.0,0.0,2431.0,1184597.0,0.0
352715,365,f639713136b62556a72db5f4732cedc8340da74ba3df8ea30cdead73d816da6e,1.0,18.0,163630.0,2.0,6867.0,40731.0,6169.0,0.0,0.0,0.0,8508.0,0.0
352312,365,a6fc8326d711987f071572d976c0bc8b591eecf1c4e759242d05f5a130b5fd75,1.0,19.0,30480.0,4.0,0.0,100358.0,0.0,0.0,0.0,0.0,0.0,0.0
352298,365,fe0b3b09a3b8c5435d55a286ecd4fb416e96d3231abdf27c975bf8606a0b559c,3.0,12.0,2422.0,4.0,41792.0,150206.0,51700.0,0.0,0.0,0.0,43442.0,0.0
352859,365,4daa04cc24d827fe8bca0ab268bba06b8aeffcf8c5c1217d87654d5d4c8ed4ea,1.0,14.0,975.0,5.0,2616.0,30231.0,23620.0,0.0,0.0,0.0,4605.0,0.0
352700,365,823fc5ce48cd827628ce0d1c574e6c3582cb772cf6173a9384df22d56bb72f0c,1.0,17.0,114439.0,2.0,9232.0,80998.0,29793.0,0.0,0.0,1144.0,12073.0,0.0
352680,365,1b455871464af23a6e0d85f1da41adbba10f5913cdda5572ca4af9a43ceb4d5a,1.0,19.0,0.0,2.0,0.0,135440.0,0.0,0.0,0.0,0.0,0.0,0.0
352686,365,f284d9a1f047636cf371af0d1e2cc1a8583c413aca0e347538758b914e00eeec,1.0,13.0,131985.0,4.0,50.0,81634.0,182.0,0.0,0.0,0.0,0.0,0.0
352343,365,51d9f1c083dfbba0c459d86f1aa8a2ae6c83f42e9b2a7a44955999a373160b23,1.0,12.0,106656.0,3.0,8971.0,104538.0,11187.0,0.0,0.0,0.0,9655.0,0.0
352880,365,fe69b536bfc0589e8198533243f08b2b9401bc352039f97472c39ca0f1536fa5,1.0,12.0,835448.0,3.0,13115.0,520288.0,16710.0,0.0,0.0,0.0,14450.0,0.0
352886,365,5deb26d41f21535fe62ba7b458c8a1c19aa2c449c19b58e57f517d00eb27087e,1.0,12.0,904.0,2.0,1847549.0,110460.0,26943.0,0.0,0.0,0.0,1825451.0,0.0
352651,365,9586b80d3ad1d74c0a1efe792cae2ecd073243fb01ed33fa1f70867748596bd5,3.0,3.0,262604.0,6.0,0.0,199106.0,0.0,0.0,0.0,0.0,0.0,0.0
352494,365,2dc131115c513102b4c5c2facb90e9e21bf6e1bb946cfc0f8e7eca0573654742,1.0,17.0,3029925.0,4.0,12916.0,312588.0,14377.0,0.0,0.0,320.0,13206.0,0.0
352253,365,b212d14cb35676926682b2cf849e295d948888f556c07e854c4cdad9f32f5084,1.0,2.0,98177.0,2.0,1359.0,174655.0,1084.0,0.0,0.0,0.0,1244.0,0.0
352280,365,74214c478dc6519fbefe4bc31693865bdcd698ab974b6435bb8fa842a3ed4fd8,3.0,15.0,201906.0,5.0,6439.0,206512.0,198856.0,11119.0,-11119.0,0.0,3538.0,11119.0
352870,365,990e17732f5f106f7b50ece595f072fe48214dbb210176457e8d8602c9953d72,1.0,17.0,228.0,3.0,4775.0,97672.0,36877.0,0.0,0.0,6369.0,8198.0,0.0
352872,365,0cda333980decc8bad60985c8420e3e36577163306c3c78c12b624284766bc50,1.0,4.0,2632963.0,4.0,4986.0,80369.0,5920.0,0.0,0.0,0.0,4696.0,0.0
352819,365,b8cc477cdb4db116c5f53248b99df135b8b018646c7d81f6a726225c98d93768,1.0,12.0,402980.0,6.0,16264.0,311074.0,15722.0,0.0,0.0,0.0,11680.0,0.0
352487,365,605be1af0245f872d8adc5b5e23cafb27a4de11247dd07d90ea0b79f1da191de,1.0,18.0,58111.0,3.0,13968.0,31279.0,11375.0,0.0,0.0,0.0,16175.0,0.0
352654,365,8ad6c338a1078ea5139423c7243914c0201f4afa21def82600d46594bff8e852,1.0,18.0,171726.0,6.0,648860.0,100875.0,-339807.0,0.0,0.0,0.0,464730.0,0.0
352493,365,3182ab9ecb0e19b96a0a68723490c01cc46dbc1e8d8a31801c9a010b436eee89,1.0,12.0,324044.0,3.0,1011704.0,120136.0,107869.0,0.0,0.0,3055.0,1004411.0,0.0
352858,365,04ac4e9d22843711c4c1276de3b55c377016e2158f280f1281ca3b17b018e994,3.0,14.0,1441976.0,4.0,323374.0,642691.0,318592.0,0.0,0.0,0.0,289976.0,0.0
352337,365,ff483c74ef2977bfcf04be0a79363af72d1812aac9ce1fcdf671b4433218f6ad,2.0,17.0,41066.0,3.0,10468.0,207836.0,14448.0,0.0,0.0,2087.0,9316.0,0.0
352704,365,d416d6741710614ecf374202e7a0656dff8625efe57d6b2727d001b4e29ba532,1.0,12.0,1402359.0,2.0,40819.0,107650.0,45187.0,0.0,0.0,0.0,43532.0,0.0
352480,365,ac8a804f8a4be16875f59b941a5cca38a6a92313538c82898fab347db054e286,1.0,17.0,7658.0,4.0,3960.0,30304.0,20523.0,0.0,0.0,203.0,4318.0,0.0
352476,365,d6d7cc8f5036ae0121dbeacf67b216f757b2ab86fb93184eec6f8261c092270a,1.0,9.0,4197550.0,4.0,190503.0,2344625.0,1073070.0,0.0,0.0,146884.0,188328.0,0.0
352492,365,a62d70911e788d5fe609d2a7bb3ab800cb3c1ab4e923658fe066a9b3f225410a,3.0,1.0,2169802.0,2.0,5499.0,203252.0,9017.0,0.0,0.0,698.0,5516.0,0.0
352332,365,8cc21d9d4e328562fb96d10b2d698714c95a48662b379d8aad7ba5290d71a5a0,1.0,12.0,296610.0,3.0,326453.0,31873.0,39631.0,0.0,0.0,1853.0,323991.0,0.0
352507,365,9902a46bcfe42b58e06b209a02d1131e47966a60187f787892eaf38116f70c8b,1.0,18.0,161909.0,3.0,15512.0,131007.0,34446.0,0.0,0.0,9083.0,15556.0,0.0
352877,365,eb128554ce8d223883c90f1aa41355051fe62bc2c15e54bd019891c21ef1b782,3.0,13.0,309683.0,2.0,12635.0,50567.0,36121.0,0.0,0.0,7273.0,13759.0,459.0
352488,365,c1fd75c8241202e9fbe747d44851dd5ba082b5e368b1b3b5f62a13f96e460b27,3.0,19.0,1415448.0,3.0,6371.0,165329.0,5841.0,0.0,0.0,0.0,5223.0,0.0
352692,365,1efec00739f069a9dd3bb1ca0ae9e1262e62548f190b20babf27016811ae4e04,1.0,13.0,2098.0,2.0,0.0,70475.0,0.0,0.0,0.0,0.0,0.0,0.0
352888,365,49f3128a76c44b29d9de1e3e41185cb2f091c3762501e080795c2bb2f8c49622,3.0,19.0,1758714.0,2.0,3697.0,31348.0,18595.0,0.0,0.0,1183.0,2770.0,0.0
352465,365,10a082d613a789acd3abc2648c84585e92e93d7fa20591c50a33899a9c03fe61,3.0,15.0,226357.0,5.0,10936.0,104768.0,46781.0,0.0,0.0,1046.0,6769.0,0.0
352302,365,9df84862272aa8b1d36b2c9574aedf16b03c1737e136b923095c373bcce2328d,1.0,17.0,173255.0,4.0,0.0,77061.0,0.0,0.0,0.0,0.0,0.0,0.0
352501,365,7844d12452c6319c9a1d6cee9d4c173d4a2b151a5c632c15b73196b84be493c9,1.0,3.0,96316.0,3.0,350037.0,100410.0,91846.0,0.0,0.0,19435.0,351117.0,0.0
