alert_key,date,sar_flag,cust_id,risk_rank,occupation_code,total_asset,AGE,tw,n_tw,ntd,n_ntd,amt
171189,0,0,972ee157e63316e8a50dd489bc93730a3ee8a8959d5c6b7f9742ee5caba62cb8,1.0,17.0,375576.0,4.0,0.0,1.0,1.0,0.0,673.0
171180,0,0,67f8cbb64dd3d447e992b1b299e0ceed3372188e47c88e213b16abaedf6af700,1.0,17.0,4076287.0,4.0,1.0,0.0,1.0,0.0,114.0
171369,0,0,b2ba3c316c162be08338a48cb6e5d9840f2400e41e73629ae0deb2cdd6420bda,1.0,17.0,13134.0,5.0,1.0,0.0,1.0,0.0,574.0
171751,0,0,9a1b8b6f1e57ba6b7c61bfbd898e9b115c3a8df02819c47947ca76f2c64b1b5d,3.0,9.0,103230.0,5.0,11.0,0.0,11.0,0.0,983591.0
171593,0,0,099068a1a9b89fb02b364680ce043ab3f47b1abfe8c9f533e7da789f59d27656,1.0,12.0,210805.0,3.0,10.0,2.0,12.0,0.0,694915.0
171790,0,0,e7bcfe4ed604a24b9ef86224fdcd01f05ea0a83767f8bfaf3d2c4f0641ac8d31,1.0,1.0,1279030.0,2.0,2.0,0.0,2.0,0.0,1315.0
171503,0,0,c121e5163d534845ad9f090fe7a77225ad592a814495320d56415a2447d5ede7,3.0,12.0,419954.0,3.0,23.0,0.0,23.0,0.0,1486509.0
171495,0,0,deea7839000d9f8c1e3fed53e0a1141266fb8d7149a05008bc4de475b8785c64,3.0,12.0,0.0,3.0,12.0,0.0,12.0,0.0,1007236.0
171606,0,0,77eb881fb8ad47743816447a9c9f9712f64b1e42bf56fda947e58bc4cb5ba42a,3.0,12.0,374739.0,3.0,49.0,0.0,49.0,0.0,3090586.0
171387,0,0,f00f64804f374f8416d66993d8f0c63b892bf86af47dcf593e2623c29a5ead82,1.0,3.0,622839.0,4.0,1.0,0.0,1.0,0.0,154.0
171494,0,0,7a5bb395f798e329689984d41e3e4848ace9c24c52f3806b119b8832ddcfd2cb,1.0,4.0,34467.0,4.0,3.0,0.0,3.0,0.0,8154.0
171209,0,0,95836236dac30345eaf79b450af364b869724d46adc7cdefcab5ff32bc288348,3.0,12.0,1195038.0,3.0,3.0,0.0,3.0,0.0,226901.0
171704,0,0,c58e3092e037420bfbde0adaf2f7a4ccb654c5dedac68366a3ca4c2fc674d047,1.0,9.0,2287681.0,6.0,180.0,0.0,180.0,0.0,374480.0
171487,0,0,7d195eb4f4ab50eb5e6ef2b1e91bf7d61d243b0bb5180bb3daa90b9a2a3e5b5f,3.0,12.0,1526679.0,4.0,0.0,1.0,1.0,0.0,16571.0
171500,0,0,04ac4e9d22843711c4c1276de3b55c377016e2158f280f1281ca3b17b018e994,3.0,14.0,713258.0,4.0,3.0,0.0,3.0,0.0,3027.0
171739,0,0,8ad6c338a1078ea5139423c7243914c0201f4afa21def82600d46594bff8e852,1.0,19.0,0.0,6.0,17.0,0.0,17.0,0.0,82694.0
171496,0,0,f01f05fe20a6717f025f4a0d3666555fcd1d857522bb8a4bb3d4b883d8e55e50,3.0,18.0,2546767.0,4.0,1.0,0.0,1.0,0.0,547.0
171446,0,0,95a6c0fd787a7f03473b58897e0d696d4ba27c61003f9277493d438798c7191a,3.0,17.0,24379.0,3.0,0.0,1.0,0.0,1.0,879.0
171367,0,0,fa81ef21a193bae90d014d04235a71e7dda88c5bfa6597b5158bbc746e7ae3f4,1.0,12.0,1093612.0,5.0,3.0,0.0,3.0,0.0,3105.0
171585,0,0,124b541310713e0101c185b514ffe09ad0740ec00a23b6fb6ec47bd3e5e1ecb8,1.0,12.0,129823.0,3.0,4.0,26.0,30.0,0.0,85981.0
171767,0,0,eaa5624331d84ac6efb2c59035fa7656e5f7d32b2ff90b271fec833c009a34fd,1.0,9.0,281809.0,2.0,2.0,0.0,2.0,0.0,920.0
171357,0,0,e19835a949c31f3c41584668beeaf1159cd15a2f74c352ff1177bb34862b7e3f,1.0,19.0,104.0,5.0,1.0,0.0,1.0,0.0,2453.0
172209,5,0,268a8ad21bed34914550636a7894a6d63bf5e26777d4d418b58cee00b597885e,3.0,19.0,0.0,5.0,0.0,1.0,0.0,1.0,5710.0
