alert_key,date,sar_flag,cust_id,risk_rank,occupation_code,total_asset,AGE,lupay,cycam,usgam,clamt,csamt,inamt,cucsm,cucah
171189,0,0,972ee157e63316e8a50dd489bc93730a3ee8a8959d5c6b7f9742ee5caba62cb8,1.0,17.0,375576.0,4.0,75839.0,301224.0,86166.0,0.0,0.0,116.0,73146.0,0.0
171737,0,0,a0861608615a9365d90f4ba0a813c0ea0471987f925c8ba0b81d6356af5c2b2f,3.0,14.0,1014759.0,4.0,0.0,152407.0,2842.0,0.0,0.0,0.0,2840.0,0.0
171142,0,0,a39fea9aec90969fe66a2b2b4d1b86368a2d38e8b8d4bfeb016d17b16f37a8d8,3.0,12.0,241719.0,3.0,12231.0,150744.0,77533.0,0.0,0.0,12144.0,12110.0,0.0
171178,0,0,1a3efa69705f611c7ef2384a715c8142e2ee801cfec9df4eb21131c33fc247a7,3.0,9.0,3634343.0,6.0,887572.0,15429268.0,6466758.0,0.0,0.0,891751.0,894270.0,0.0
171207,0,0,43ca84051796dcbb9ad40a9660df4bd757b1d382352bc0d8dfa08293f749ebd9,1.0,19.0,358135.0,3.0,18564.0,175543.0,31821.0,0.0,0.0,2374.0,18762.0,0.0
171197,0,0,36a340a7b16178420c059491e3a9045b123744479d75d1d4e95e3cf1703ca055,3.0,12.0,1759966.0,3.0,365035.0,131259.0,27637.0,0.0,0.0,0.0,363373.0,0.0
171180,0,0,67f8cbb64dd3d447e992b1b299e0ceed3372188e47c88e213b16abaedf6af700,1.0,17.0,4076287.0,4.0,4665.0,256134.0,6989.0,0.0,0.0,1708.0,7077.0,0.0
171369,0,0,b2ba3c316c162be08338a48cb6e5d9840f2400e41e73629ae0deb2cdd6420bda,1.0,17.0,13134.0,5.0,4894.0,50703.0,4333.0,0.0,0.0,0.0,4015.0,0.0
171751,0,0,9a1b8b6f1e57ba6b7c61bfbd898e9b115c3a8df02819c47947ca76f2c64b1b5d,3.0,9.0,103230.0,5.0,2550033.0,130233.0,-35839.0,0.0,0.0,3725.0,2548154.0,0.0
171586,0,0,9d5991f491b1f1a9fd7410fc1aeb3bd09e3fdd84d8fe950053274202332f188a,1.0,19.0,623999.0,3.0,85829.0,201968.0,63839.0,0.0,0.0,4501.0,80822.0,0.0
